,ensemble_id,modularity,size,score,score_pval,simmilarity,session_name,ensemble_sig,block,group
0,0,5.813618410729627,7.0,0.05163319097933702,0.0045,0.06605418570637715,hamilton_01,False,shock,sal
1,1,5.813618410729627,8.0,0.08010391853217315,0.0,0.09452491325921328,hamilton_01,False,shock,sal
2,0,11.753057476208992,11.0,0.021720592175416983,0.1615,0.09583482651247083,hamilton_01,False,baseline,sal
3,1,11.753057476208992,3.0,0.13509963129005598,0.0045,0.20921386562710984,hamilton_01,True,baseline,sal
4,2,9.232539505162261,2.0,-0.0030514197803366856,0.21866666666666668,0.005742560696404794,hamilton_13,False,shock,sal
5,3,9.232539505162261,7.0,0.16566275333535962,0.006333333333333333,0.19584508864830086,hamilton_13,True,shock,sal
6,4,9.232539505162261,2.0,0.14081388753495383,0.010666666666666666,0.17897020643389872,hamilton_13,False,shock,sal
7,2,14.417592678079842,3.0,-0.022276572301889994,0.3545,0.03346421298517937,hamilton_13,False,baseline,sal
8,3,14.417592678079842,8.0,0.16941194601669055,0.004,0.2251527313037599,hamilton_13,True,baseline,sal
9,5,360.0020953189528,38.0,0.20793882307664646,0.0,0.266772582175944,hamilton_23,True,shock,continuation
10,6,360.0020953189528,19.0,0.1594775324214681,0.0,0.21831129152076564,hamilton_23,True,shock,continuation
11,4,232.12122026074275,39.0,0.10968679743261014,0.0,0.15856978123444,hamilton_23,True,baseline,continuation
12,5,232.12122026074275,18.0,0.3237090097049473,0.0,0.3725919935067772,hamilton_23,True,baseline,continuation
13,7,86.71116761365028,38.0,0.02985218532967303,0.0095,0.06338509217279735,hamilton_07,False,shock,sal
14,8,86.71116761365028,8.0,0.19114708894283916,0.0,0.22467999578596345,hamilton_07,True,shock,sal
15,6,135.75368780128503,31.0,0.1344075755974273,0.0,0.15374111460627313,hamilton_07,True,baseline,sal
16,7,135.75368780128503,14.0,0.09157861771728139,0.0,0.11091215672612721,hamilton_07,True,baseline,sal
17,9,206.2777209753133,26.0,0.22113450399092482,0.0,0.3056920042603947,hamilton_08,True,shock,continuation
18,10,206.2777209753133,11.0,0.005603371683695721,0.254,0.10744027573193123,hamilton_08,False,shock,continuation
19,11,206.2777209753133,5.0,0.11480166331165384,0.0016666666666666668,0.12548719752070306,hamilton_08,True,shock,continuation
20,8,199.81255146265116,13.0,0.15168989086071782,0.0,0.16030350569046822,hamilton_08,True,baseline,continuation
21,9,199.81255146265116,29.0,0.2525445554192523,0.0,0.2611581702490027,hamilton_08,True,baseline,continuation
22,12,88.0479205307271,23.0,0.05268002316760772,0.003,0.08617111206984764,hamilton_19,False,shock,sal
23,13,88.0479205307271,21.0,0.164983110291763,0.0,0.1984741991940029,hamilton_19,True,shock,sal
24,10,209.7303828874818,35.0,0.15513928752847655,0.0006666666666666666,0.18003468252804353,hamilton_19,True,baseline,sal
25,11,209.7303828874818,5.0,0.2526549531635342,0.0,0.2906285720283079,hamilton_19,True,baseline,sal
26,12,209.7303828874818,4.0,0.27948888287900175,0.0,0.2932607488403486,hamilton_19,True,baseline,sal
27,14,114.97490853260788,21.0,0.1867055031935788,0.0,0.2449512068878472,hamilton_20,True,shock,continuation
28,15,114.97490853260788,25.0,-0.006433291645562389,0.4875,0.051812412048706014,hamilton_20,False,shock,continuation
29,13,67.5785807983778,27.0,0.06383007164916815,0.0,0.08094193274320238,hamilton_20,False,baseline,continuation
30,14,67.5785807983778,19.0,0.14519410480531528,0.0,0.1623059658993495,hamilton_20,True,baseline,continuation
